path,bytes,sha256,disposition
evidence/cadence/fallback-texture-pause.png,214473,5ff78904a830b137b1489530e5d26379fb6a6fa10caee5acf2ac6114fa785921,local-history-only
evidence/cadence/fallback-texture-victory.png,289316,9c555771cf63f08f0700282e19c0054086856ab2d2cfc42857cd4be50b7b1481,local-history-only
evidence/cadence/final-checks.json,423,1d7430d99a7944c5e1ef0c4a720e734bbb8a837beab6c3ce55f0688c400175b1,local-history-only
evidence/cadence/git-status.txt,700,c51b24f0bdfbc8c6cd71775ce765a95402f3473fb1dfca2f3cf83fe80afb09c6,local-history-only
evidence/cadence/interaction-results.json,1602,4d3f201b58feb0d0f83e73a97e87bd18bfd0ae8c252fc34887287ad40b86ae20,local-history-only
evidence/cadence/natural-ui-start-and-movement.png,97829,967c98961b7d151d4849e6cfc5bfa429809039773ee961689b86ae510d513095,local-history-only
evidence/cadence/npm-test.txt,74071,a9b2eed4f65d9c219344ff1a828bfc5354cb10909d8d8f681ae33c1609726cc2,local-history-only
evidence/cadence/pause-natural-after-camera-move.png,341335,0e7bf090352d5c1ecc9fad90e7fbe406a96b2914e58475ecabe18c8544877808,local-history-only
evidence/cadence/pistol-1440-dpr1-card.png,147694,210bc5f984ce4704df9275bb9e1dea8ba11867e6b01707df879e8c61a2e8bcfd,local-history-only
evidence/cadence/pistol-1440-dpr1.5-card.png,299040,d8794f36340eefae262005c0a965555b8218a8aa15b164cf273b4552df75fb9e,local-history-only
evidence/cadence/pistol-1440-dpr1.5.png,2138133,4bbee7b4f7f030a77fb5781e59b05f30c9e170d207c20abef197ceedd837fd5b,local-history-only
evidence/cadence/pistol-1440-dpr1.png,1058392,c51e8dad6265a236dddf71890cabe50c3bbbf3758108a098c8bec5c0a4758273,local-history-only
evidence/cadence/pistol-1440-dpr2-card.png,479745,4f50a4bfc3927ee5ffb0b50cfe3c7a1a6d382ad9fe4f3eda9edec5d4464be377,local-history-only
